date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:58	43128/43128	---M-Z	200	added ('OK')	text/html	etag:%226180411-a878-572413c14f380-gzip%22	http://rewebsotech.com/templates/domnoo/web/home.html	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/home.html	(from )
15:18:58	462/462	---M-Z	404	error ('Not%20Found')	text/html	etag:%226225b3-2ea-58d4e4180e5aa;597d488c5aaaa-gzip%22	http://rewebsotech.com/robots.txt		(from )
15:18:58	5558/5558	---M--	200	added ('OK')	image/x-icon	etag:%226180446-15b6-5724112b75a00%22	http://rewebsotech.com/templates/domnoo/web/images/fav2.ico	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/images/fav2.ico	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:01	121200/121200	---M--	200	added ('OK')	text/css	etag:%2261803e8-1d970-5619616db1b00%22	http://rewebsotech.com/templates/domnoo/web/css/bootstrap.min.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/bootstrap.min.css	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:01	133208/133208	---M--	200	added ('OK')	text/css	etag:%2261803f8-20858-5723d5740f680%22	http://rewebsotech.com/templates/domnoo/web/css/style.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/style.css	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:03	4580/4580	---M--	200	added ('OK')	text/css	etag:%2261803e9-11e4-57214adc78600%22	http://rewebsotech.com/templates/domnoo/web/css/colors.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/colors.css	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:03	45311/45311	---M--	200	added ('OK')	text/css	etag:%2261803f5-b0ff-572058e93b100%22	http://rewebsotech.com/templates/domnoo/web/css/responsive.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/responsive.css	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:05	65036/65036	---M-Z	200	added ('OK')	text/html	etag:%226180412-fe0c-572413c51fc80-gzip%22	http://rewebsotech.com/templates/domnoo/web/home2.html	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/home2.html	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:07	130238/130238	---MCZ	200	added ('OK')	text/html	etag:%2261804c1-1fcbe-572413c8f0580-gzip%22	http://rewebsotech.com/templates/domnoo/web/menu.html	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/menu.html	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:07	5394/5394	---M--	200	added ('OK')	image/png	etag:%226180487-1512-5723b7ccd0080%22	http://rewebsotech.com/templates/domnoo/web/images/logo.png	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/images/logo.png	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:07	25583/25583	---M-Z	200	added ('OK')	text/html	etag:%2261803e1-63ef-572413a4b3000-gzip%22	http://rewebsotech.com/templates/domnoo/web/about_us.html	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/about_us.html	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:08	30742/30742	---M-Z	200	added ('OK')	text/html	etag:%2261803e2-7816-572413ac54200-gzip%22	http://rewebsotech.com/templates/domnoo/web/blog.html	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/blog.html	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:19:09	29185/29185	---M-Z	200	added ('OK')	text/html	etag:%2261803e3-7201-572413b20cf80-gzip%22	http://rewebsotech.com/templates/domnoo/web/blog_left.html	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/blog_left.html	(from http://rewebsotech.com/templates/domnoo/web/home.html)
